,text
138, К вечеруКитайский фонд инвестирует  млн в частные российские спутники Даурия  космический стартап от бывшего владельца Техносилы 
139,  ноября пройдет судебное разбирательство между Ремезом и Сажиным 
140, В США создан крупнейший в истории фонд посевных инвестиций на  млн  запускает   в фокусе которого будут синдицированные сделки 
141,Станислав Сажин на примере Доктора на работе рассказал как надо следить за конкурентами  
142, Кого кредитовать Малый и средний бизнес где вы
143, Кого кредитовать Малый и средний бизнес где вы
146, Написала о личном опыте  каково это быть жертвой больших данных 
147, Доброе утро чат Тут  обучающих курсов и книг для тех кто хочет делать ПО 
148, Цифры тонн лития в год  столько будет потреблять новый завод Илона Маска по производству литиевых аккумуляторов миллиона рублей такой зам взял бывший гендиректор Медиа Мира Павел Рогожин у самого Медиа Мира в октябре  года Теперь по суду должен вернуть но не торопится миллионов вложил Борис Минц в  иностранных технологических проектов тысяч стоит система дополненной реальности от  Посмотрите видео  это просто красиво В Японии и США уже используют 
149, Спросили у инвесторов что акслератор может дать стартапу Спойлер ничего разве что только если постараться
150, О наболевшем на ночь глядя Вчера глава ВТБ Андрей Костин заявил о бессмысленности кредитования малого бизнеса попросил игроков рынка прокомментировать заявление Костина 
153, Сегодня нам исполнилось  года И мы признаемся вам в любви тут 
156, Упс В российский искуственный интеллект вложили  миллионов долларов  эксклюзив на  
157, Доброе Сотрудники  использующие ПК на  обращаются за помощью в техподдержку в  раз чаще чем сотрудники на   В   нашли очередную уязвимость которая угрожает всем настольным компьютерам Но на этот раз  не знает что с этой уязвимостью делать  показал    это альтернатива   с редактором в стиле блога  Холдинг   принадлежащий Алишеру Усманову вложит более  миллионов в киберспортивный проект 
158, ФРИИ и Ростех запускают акселератор в сфере безопасности 
159, Александр Мамут вложился в новый проект Алены ВладимирскойКомпания  займется поиском и привлечением управленцев включая топменеджеров из Европы и США в Россию 
162, Продать дачу через лотереюАлександр Кондратьев опубликовал пост в  о том что хочет продать дачу Но продать не обычным способом а якобы разыграть в лотереюПолная стоимость дачи   млн рублей  разделится между всеми участниками а один из них по итогам розыгрыша и получит дом Что это такое и возможно ли это 
163,Привет Это Полина Я ищу и перевожу для вас самые интересные статьи в англоязычной прессе Меня вы узнаете по значку Вот вам чтение на вечер эпический материал  о том как выглядят люди из порноиндустрии и сколько они зарабатывают на самом деле Спойлер все не так уж и весело Но выглядят норм
